2026-07-21 12:11:41.418 +05:30 [INF] Configured endpoint employee.events.Queue, Consumer: EmployeeApp.Api.Messaging.EmployeeEventConsumer
2026-07-21 12:11:41.716 +05:30 [INF] Now listening on: http://localhost:5070
2026-07-21 12:11:41.718 +05:30 [INF] Application started. Press Ctrl+C to shut down.
2026-07-21 12:11:41.719 +05:30 [INF] Hosting environment: Development
2026-07-21 12:11:41.719 +05:30 [INF] Content root path: C:\aws\EmployeeApp\EmployeeApp.Api
2026-07-21 12:11:42.323 +05:30 [INF] Bus started: "rabbitmq://localhost/"
2026-07-21 12:11:57.634 +05:30 [WRN] Failed to determine the https port for redirect.
2026-07-21 12:11:57.656 +05:30 [INF] HTTP GET / responded 404 in 21.7778 ms
2026-07-21 12:12:05.883 +05:30 [INF] HTTP GET /angular responded 200 in 16.9685 ms
2026-07-21 12:12:05.940 +05:30 [INF] HTTP GET /angular/styles-JG7EAGFK.css responded 200 in 26.5471 ms
2026-07-21 12:12:05.948 +05:30 [INF] HTTP GET /angular/main-R2VRMAV4.js responded 200 in 43.1311 ms
2026-07-21 12:12:06.188 +05:30 [INF] HTTP GET /angular/favicon.ico responded 200 in 2.0586 ms
2026-07-21 12:12:06.329 +05:30 [INF] HTTP GET /api/employees responded 401 in 147.8601 ms
2026-07-21 12:12:26.176 +05:30 [INF] HTTP POST /api/auth/login responded 200 in 554.8288 ms
2026-07-21 12:12:26.354 +05:30 [WRN] You do not have a valid license key for the Lucky Penny software AutoMapper. This is allowed for development and testing scenarios. If you are running in production you are required to have a licensed version. Please visit https://luckypennysoftware.com to obtain a valid license.
2026-07-21 12:12:26.485 +05:30 [INF] HTTP GET /api/employees responded 200 in 297.0486 ms
2026-07-21 12:12:44.225 +05:30 [INF] HTTP GET /blazor responded 200 in 2.4190 ms
2026-07-21 12:12:44.247 +05:30 [INF] HTTP GET /blazor/css/app.css responded 200 in 1.9479 ms
2026-07-21 12:12:44.249 +05:30 [INF] HTTP GET /blazor/EmployeeClient.styles.css responded 200 in 2.1428 ms
2026-07-21 12:12:44.251 +05:30 [INF] HTTP GET /blazor/lib/bootstrap/dist/css/bootstrap.min.css responded 200 in 4.5307 ms
2026-07-21 12:12:44.255 +05:30 [INF] HTTP GET /blazor/_framework/blazor.webassembly.js responded 200 in 4.8952 ms
2026-07-21 12:12:44.280 +05:30 [INF] HTTP GET /blazor/_framework/dotnet.js responded 200 in 4.8959 ms
2026-07-21 12:12:44.282 +05:30 [INF] HTTP GET /blazor/favicon.png responded 200 in 1.3435 ms
2026-07-21 12:12:44.295 +05:30 [INF] HTTP GET /blazor/_framework/dotnet.runtime.web2r9gqbh.js responded 200 in 5.2243 ms
2026-07-21 12:12:44.299 +05:30 [INF] HTTP GET /blazor/_framework/dotnet.native.puryxhmhq9.js responded 200 in 7.2196 ms
